label,team_school_ncaa,team_seed,opp_school_ncaa,opp_seed
,LSU,3,Iowa St.,6
,LSU,3,Buffalo,6
,LSU,3,Villanova,6
,LSU,3,Maryland,6
,LSU,3,Wofford,7
,LSU,3,Nevada,7
,LSU,3,Cincinnati,7
,LSU,3,Louisville,7
,LSU,3,Ole Miss,8
,LSU,3,Syracuse,8
,LSU,3,Utah St.,8
,LSU,3,VCU,8
,LSU,3,Baylor,9
,LSU,3,Oklahoma,9
,LSU,3,UCF,9
,LSU,3,Washington,9
,LSU,3,Iowa,10
,LSU,3,Seton Hall,10
,LSU,3,Minnesota,10
,LSU,3,Florida,10
,LSU,3,Arizona St.,11
,LSU,3,St. John's (NY),11
,LSU,3,Ohio St.,11
,LSU,3,Belmont,11
,LSU,3,Saint Mary's (CA),11
,LSU,3,Temple,11
,LSU,3,Oregon,12
,LSU,3,Murray St.,12
,LSU,3,New Mexico St.,12
,LSU,3,Liberty,12
,LSU,3,Saint Louis,13
,LSU,3,UC Irvine,13
,LSU,3,Vermont,13
,LSU,3,Northeastern,13
,LSU,3,Northern Ky.,14
,LSU,3,Georgia St.,14
,LSU,3,Yale,14
,LSU,3,Old Dominion,14
,LSU,3,Abilene Christian,15
,LSU,3,Colgate,15
,LSU,3,Bradley,15
,LSU,3,Montana,15
,LSU,3,Fairleigh Dickinson,16
,LSU,3,N.C. Central,16
,LSU,3,Gardner-Webb,16
,LSU,3,Prairie View,16
,LSU,3,North Dakota St.,16
,LSU,3,Iona,16
,Purdue,3,North Carolina,1
,Purdue,3,Gonzaga,1
,Purdue,3,Duke,1
,Purdue,3,Virginia,1
,Purdue,3,Kentucky,2
,Purdue,3,Michigan St.,2
,Purdue,3,Tennessee,2
,Purdue,3,Michigan,2
,Purdue,3,Houston,3
,Purdue,3,LSU,3
,Purdue,3,Texas Tech,3
,Purdue,3,Virginia Tech,4
,Purdue,3,Kansas,4
,Purdue,3,Florida St.,4
,Purdue,3,Kansas St.,4
,Purdue,3,Auburn,5
,Purdue,3,Wisconsin,5
,Purdue,3,Mississippi St.,5
,Purdue,3,Marquette,5
,Purdue,3,Iowa St.,6
,Purdue,3,Buffalo,6
,Purdue,3,Villanova,6
,Purdue,3,Maryland,6
,Purdue,3,Wofford,7
,Purdue,3,Nevada,7
,Purdue,3,Cincinnati,7
,Purdue,3,Louisville,7
,Purdue,3,Ole Miss,8
,Purdue,3,Syracuse,8
,Purdue,3,Utah St.,8
,Purdue,3,VCU,8
,Purdue,3,Baylor,9
,Purdue,3,Oklahoma,9
,Purdue,3,UCF,9
,Purdue,3,Washington,9
,Purdue,3,Iowa,10
,Purdue,3,Seton Hall,10
,Purdue,3,Minnesota,10
,Purdue,3,Florida,10
,Purdue,3,Arizona St.,11
,Purdue,3,St. John's (NY),11
,Purdue,3,Ohio St.,11
,Purdue,3,Belmont,11
,Purdue,3,Saint Mary's (CA),11
,Purdue,3,Temple,11
,Purdue,3,Oregon,12
,Purdue,3,Murray St.,12
,Purdue,3,New Mexico St.,12
,Purdue,3,Liberty,12
,Purdue,3,Saint Louis,13
,Purdue,3,UC Irvine,13
,Purdue,3,Vermont,13
,Purdue,3,Northeastern,13
,Purdue,3,Northern Ky.,14
,Purdue,3,Georgia St.,14
,Purdue,3,Yale,14
,Purdue,3,Old Dominion,14
,Purdue,3,Abilene Christian,15
,Purdue,3,Colgate,15
,Purdue,3,Bradley,15
,Purdue,3,Montana,15
,Purdue,3,Fairleigh Dickinson,16
,Purdue,3,N.C. Central,16
,Purdue,3,Gardner-Webb,16
,Purdue,3,Prairie View,16
,Purdue,3,North Dakota St.,16
